日期,Sales
2022-03-01,2
2022-03-02,8
2022-03-03,16
2022-03-04,19
2022-03-05,28
2022-03-06,48
2022-03-07,55
2022-03-08,65
2022-03-09,80
2022-03-10,75
2022-03-11,83
2022-03-12,65
2022-03-13,169
2022-03-14,139
2022-03-15,202
2022-03-16,158
2022-03-17,260
2022-03-18,374
2022-03-19,509
2022-03-20,758
2022-03-21,896
2022-03-22,981
2022-03-23,983
2022-03-24,1609
2022-03-25,2269
2022-03-26,2676
2022-03-27,3500
2022-03-28,4477
2022-03-29,5982
2022-03-30,5653
2022-03-31,4502
2022-04-01,6311
2022-04-02,8226
2022-04-03,9006
2022-04-04,13354
2022-04-05,17077
2022-04-06,19982
2022-04-07,21222
2022-04-08,23624
2022-04-09,24943
2022-04-10,26087
2022-04-11,23342
2022-04-12,26330
2022-04-13,27719
2022-04-14,23072
2022-04-15,23513
2022-04-16,24820
2022-04-17,22248
2022-04-18,20416
2022-04-19,18901
2022-04-20,18495
2022-04-21,17629
2022-04-22,23370
2022-04-23,21058
2022-04-24,19455
2022-04-25,16980
2022-04-26,13562
2022-04-27,10622
2022-04-28,15032
2022-04-29,10181
2022/4/30,7872
2022/5/1,7333
2022/5/2,6856
2022/5/3,6067
2022/5/4,5539
2022/5/5,4873
2022/5/6,3207
2022/5/7,2386
