	en	zh
0	hi .	嗨。
1	hi .	你好。
2	run .	你用跑的。
3	stop !	住手！
4	wait !	等等！
5	wait !	等一下！
6	begin .	开始！
7	hello !	你好。
8	i try .	我试试。
9	i won !	我赢了。
10	oh no !	不会吧。
11	cheers !	干杯 !
12	got it ?	知道了没有？
13	got it ?	你懂了吗？
14	he ran .	他跑了。
15	hop in .	跳进来。
16	i know .	我知道。
17	i quit .	我退出。
18	i quit .	我不干了。
19	i'm ok .	我没事。
20	i'm up .	我已经起来了。
21	listen .	听着。
22	no way !	不可能！
23	no way !	没门！
24	really ?	你确定？
25	thanks !	谢谢！
26	try it .	试试吧。
27	we try .	我们来试试。
28	why me ?	为什么是我？
29	ask tom .	去问汤姆。
30	awesome !	好棒！
31	be calm .	冷静点。
32	be fair .	公平点。
33	be kind .	友善点。
34	be kind .	友好点。
35	be nice .	和气点。
36	be nice .	友善点。
37	call me .	联系我。
38	call us .	联系我们。
39	come in .	进来。
40	get tom .	找到汤姆。
41	get out !	滚出去！
42	get out !	出去！
43	go away !	走开！
44	go away !	滚！
45	go away .	走开！
46	go home .	回家。
47	go home .	回家吧。
48	goodbye !	再见！
49	goodbye !	告辞！
50	hang on !	坚持。
51	hang on !	等一下！
52	hang on .	坚持。
53	he came .	他来了。
54	he runs .	他跑。
55	help me .	帮我一下。
56	help us .	帮帮我们吧！
57	hit tom .	去打汤姆。
58	hold on .	坚持。
59	hug tom .	抱抱汤姆！
60	hug tom .	请抱紧汤姆。
61	i agree .	我同意。
62	i'm hot .	我觉得很热。
63	i'm ill .	我生病了。
64	i'm sad .	我很难过。
65	i'm wet .	我湿了。
66	it's ok .	没关系。
67	it's me .	是我。
68	join us .	来加入我们吧。
69	keep it .	留着吧。
70	kiss me .	吻我。
71	perfect !	完美！
72	see you .	再见！
73	shut up !	闭嘴！
74	skip it .	不管它。
75	take it .	拿走吧。
76	tell me .	告诉我！
77	tom won .	汤姆胜利了。
78	wake up !	醒醒！
79	wash up .	去清洗一下。
80	we know .	我们知道。
81	welcome .	欢迎。
82	who won ?	谁赢了？
83	why not ?	为什么不？
84	you run .	你跑。
85	you win .	算你狠。
86	back off !	往后退点。
87	back off .	往后退点。
88	be still .	静静的，别动。
89	beats me .	我一无所知。
90	cuff him .	把他铐上。
91	drive on .	往前开。
92	get away !	走开！
93	get away !	滚！
94	get down !	趴下！
95	get lost !	滚！
96	get lost !	滚。
97	get lost .	滚。
98	get real .	醒醒吧。
99	go ahead .	继续吧。
100	good job !	做得好！
101	good job !	干的好！
102	grab tom .	抓住汤姆。
103	grab him .	抓住他。
104	have fun .	玩得开心。
105	he tries .	他来试试。
106	how cute !	多可爱啊！
107	humor me .	你就随了我的意吧。
108	hurry up .	赶快 !
109	hurry up .	快点！
110	hurry up .	快点。
111	i did it .	我做到了！
112	i forgot .	我忘了。
113	i resign .	我放弃。
114	i'll pay .	我来付钱。
115	i'm back .	我回来了！
116	i'm busy .	我很忙。
117	i'm cold .	我冷。
118	i'm cool .	我很酷。
119	i'm fine .	我很好。
120	i'm free !	我自由了！
121	i'm full .	我吃饱了。
122	i'm home .	我在家里。
123	i'm lost .	我迷失了。
124	i'm sick .	我生病了。
125	i'm sick .	我病了。
126	i'm tall .	我个子高。
127	leave me .	让我一个人呆会儿。
128	let's go !	走吧。
129	let's go !	我们开始吧！
130	let's go !	我们走吧 !
131	look out !	当心！
132	say what ?	啥？
133	she runs .	她跑。
134	sit down .	请坐。
135	stand up .	起立。
136	terrific !	很棒！
137	they won .	他们赢了。
138	tom died .	汤姆去世了。
139	tom lied .	汤姆说谎了。
140	tom lost .	汤姆输了。
141	tom quit .	汤姆不干了。
142	tom swam .	汤姆游泳了。
143	tom swam .	tom游泳。
144	trust me .	相信我。
145	try hard .	努力。
146	try some .	试试吧。
147	try this .	试试这个。
148	use this .	请用这个。
149	who died ?	谁死了？
150	am i dead ?	我死了吗？
151	answer me .	回答我。
152	birds fly .	鸟类飞行。
153	call home !	打电话回家！
154	calm down .	冷静点。
155	catch him .	抓住他。
156	come home .	回家吧。
157	cool down .	冷静点。
158	do it now .	现在就做。
159	dogs bark .	狗会叫。
160	don't cry .	别哭。
161	excuse me .	对不起。
162	fantastic !	好棒！
